Date,Code,Gross_num,PctGrossVsIssuedPct_num
2025-12-23,AQI,68704,0.007401311019696321
2025-12-23,AEE,68326,0.007619435932308179
2025-12-23,ALL,67491,0.010940845574154407
2025-12-23,PWH,67065,0.06668216303195766
2025-12-23,SGM,66319,0.03432101459955277
2025-12-23,BMN,66242,0.03189991895238128
2025-12-23,AUC,65565,0.01321635877166829
2025-12-23,XRO,65453,0.038532854145926526
2025-12-23,EPY,65200,0.024589557572951077
2025-12-23,ABG,64887,0.007260834306553728
2025-12-23,A2M,64609,0.008906350574928371
2025-12-23,VAF,64308,0.0911609088278215
2025-12-23,TER,64220,0.008017816131787378
2025-12-23,ELD,63945,0.02994917127535524
2025-12-23,AEL,63606,0.02134865443934673
2025-12-23,TWR,63599,0.018566228865479057
2025-12-23,IPD,62792,0.0030819229401587256
2025-12-23,CKF,61009,0.051694114917892574
2025-12-23,YMAX,60831,0.07286437174779362
2025-12-23,TPW,60632,0.050411221189301574
2025-12-23,LRM,59476,0.0019411752063281233
2025-12-23,HZN,58165,0.003573691992342612
2025-12-23,IFT,58141,0.005818100118374386
2025-12-23,A4N,57324,0.005022768543467131
2025-12-23,PPL,56400,0.004821350161290662
2025-12-23,MDI,55899,0.005627481656213345
2025-12-23,AL3,54872,0.009931070044907378
2025-12-23,AZY,54598,0.008242324534549489
2025-12-23,TTT,54222,0.0033901461840450593
2025-12-23,IFL,53964,0.00804560856367276
2025-12-23,SSM,52455,0.008482299661641058
2025-12-23,NCK,52158,0.060981613163245636
2025-12-23,REA,51402,0.038906359948529645
2025-12-23,BGA,51373,0.01682279064295905
2025-12-23,VMM,51028,0.04600938673359169
2025-12-23,GNC,50868,0.022882520788296452
2025-12-23,FRX,50000,0.003296591698017748
2025-12-23,HHR,50000,0.001780194330976351
2025-12-23,PAR,47955,0.011190864420032396
2025-12-23,QML,47803,0.007530836121749745
2025-12-23,ANN,47613,0.03301572785149331
2025-12-23,S2R,46793,0.008808703655068355
2025-12-23,4DX,46761,0.00893075789229301
2025-12-23,ART,45846,0.009415849263701167
2025-12-23,ZEU,45250,0.006304593671013892
2025-12-23,IRE,44178,0.02365122565739438
2025-12-23,BRG,43859,0.030282153807574
2025-12-23,GLIN,43452,0.08792648300259996
2025-12-23,TG6,43326,0.03594614470048119
2025-12-23,KNB,43248,0.004209214904015928
2025-12-23,RNU,42811,0.001682779048401109
2025-12-23,SPD,42671,0.03408474278136693
2025-12-23,PEX,42153,0.005051113910396721
2025-12-23,GTK,41742,0.03712001109812032
2025-12-23,DLI,41243,0.005750302825393998
2025-12-23,PSL,40401,0.007678565359586848
2025-12-23,ADH,39583,0.022320771781383676
2025-12-23,RFF,39430,0.01011744241452889
2025-12-23,AOV,39105,0.029215548077630386
2025-12-23,AAA,38952,0.04126004657029676
2025-12-23,BM1,38870,0.01750547558395983
2025-12-23,ALA,38040,0.0031668762144146097
2025-12-23,GYG,37573,0.03679240173499387
2025-12-23,EMP,37547,0.0045213639419553016
2025-12-23,NEU,37223,0.029392876912694696
2025-12-23,ERM,36761,0.005664274890987747
2025-12-23,MLX,36426,0.004109470638922096
2025-12-23,IHVV,35678,0.0699029675571115
2025-12-23,PPS,35159,0.0073488992099779715
2025-12-23,SHG,34844,0.011098041584875252
2025-12-23,AVM,34826,0.008929938468477706
2025-12-23,COH,34457,0.05268778339160331
2025-12-23,CYP,34175,0.014392238872639988
2025-12-23,QUAL,33597,0.02614948454763703
2025-12-23,GLF,33020,0.008682882416769195
2025-12-23,ASM,32998,0.0123101747403153
2025-12-23,AUR,32100,0.002514440492455066
2025-12-23,AFG,32011,0.011779140631123565
2025-12-23,COD,31966,0.008592582001324976
2025-12-23,EVT,31817,0.01957699104434956
2025-12-23,LOV,31479,0.02842642956657872
2025-12-23,FANG,31309,0.07381701914102726
2025-12-23,GL1,31008,0.011847227479983418
2025-12-23,LDR,30910,0.01842247966874343
2025-12-23,PPT,30894,0.026741206199264938
2025-12-23,ASK,30810,0.002344565143747085
2025-12-23,AAI,30629,0.053258341471014554
2025-12-23,LNW,30600,0.03813015074007445
